,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1588,Retail,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Experienced Professional,2 Years,"Dec 12, 2023","Nov 12, 2023",0,1 Year - 4 Years,,https://www.rozee.pk/media-signs-llc-search-engine-optimization-expert-islamabad-faisalabad-karachi-lahore-multan-rawalpindi-jobs-1425735?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425735&utm_campaign=ROZEE.PK_job_search
1589,Retail,Sales & Business Development,3 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 20, 2023","Nov 11, 2023",0,5 Years - 10 Years,,https://www.rozee.pk/simply-sufi-xprs-restaurant-manager-islamabad-lahore-bhera-jobs-1433219?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433219&utm_campaign=ROZEE.PK_job_search
1590,Retail,Creative Design,2 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 29, 2023","Nov 11, 2023",20 - 40 Years,1 Year - 2 Years,,https://www.rozee.pk/professional-employers-pvt-ltd-kitchen-manager-lahore-jobs-1428727?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428727&utm_campaign=ROZEE.PK_job_search
1591,Retail,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Certification,0,Entry Level,Fresh,"Dec 11, 2023","Nov 11, 2023",0,,,https://www.rozee.pk/brim-pakistan-restaurant-manager-lahore-jobs-1428623?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428623&utm_campaign=ROZEE.PK_job_search
1592,Retail,"Accounts, Finance & Financial Services",1 Post,Work from Home,Full Time/Permanent,"Karachi, Pakistan",No Preference,Diploma,0,Entry Level,Fresh,"Dec 09, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/professional-employers-pvt-ltd-restaurant-captain-lahore-jobs-1427435?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427435&utm_campaign=ROZEE.PK_job_search
1593,0,Software & Web Development,2 Posts,First Shift (Day),Full Time/Permanent,"Clifton, Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years,"Dec 10, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/khyber-hujra-restaurant-manager-islamabad-jobs-1427161?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427161&utm_campaign=ROZEE.PK_job_search
1594,Retail,Retail,1 Post,First Shift (Day),Full Time/Permanent,"DHA, Lahore, Pakistan",Male,Bachelors,0,Experienced Professional,3 Years,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/professional-employers-pvt-ltd-assistant-restaurant-manager-lahore-jobs-1432441?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432441&utm_campaign=ROZEE.PK_job_search
1595,Retail,Marketing,3 Posts,First Shift (Day),Full Time/Permanent,"Lawrance Road, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Nov 28, 2023","Oct 27, 2023",20 - 28 Years,,,https://www.rozee.pk/professional-employers-pvt-ltd-assistant-restaurant-manager-lahore-jobs-1431891?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431891&utm_campaign=ROZEE.PK_job_search
1596,Retail,Creative Design,2 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 29, 2023","Nov 07, 2023",20 - 40 Years,,,https://www.rozee.pk/quettamak-assistant-restaurant-manager-islamabad-jobs-1431109?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431109&utm_campaign=ROZEE.PK_job_search
1597,Retail,Hotel/Restaurant Management,4 Posts,Rotating,Full Time/Permanent,"DHA, Lahore, Pakistan",No Preference,Matriculation/O-Level,0,Entry Level,2 Years,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/professional-employers-pvt-ltd-assistant-restaurant-manager-lahore-jobs-1425989?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425989&utm_campaign=ROZEE.PK_job_search
1598,0,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Malakwal, Mandi Bahauddin, Phalia, Pakistan",Female,Bachelors,"Bachelor's degree in Accounting, Finance, or a related field.",Experienced Professional,1 Year,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/mcdonalds-pakistan-trainee-manager-restaurant-operations-gujar-khan-jhelum-jobs-1413403?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1413403&utm_campaign=ROZEE.PK_job_search
1599,Retail,Sales & Business Development,3 Posts,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Pakistan",Female,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 20, 2023","Nov 05, 2023",0,,,https://www.rozee.pk/al-jalil-developers-sr-urban-planner-urban-planning-design-lahore-jobs-1433351?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433351&utm_campaign=ROZEE.PK_job_search
1600,Retail,Client Services & Customer Support,1 Post,Second Shift (Afternoon),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi, Sargodha, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 05, 2023","Nov 05, 2023",0,,,https://www.rozee.pk/al-jalil-developers-draftsman-urban-planning-design-lahore-jobs-1433373?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433373&utm_campaign=ROZEE.PK_job_search
1601,Retail,Telemarketing,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Sialkot, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Dec 05, 2023","Nov 05, 2023",0,,,https://www.rozee.pk/al-jalil-developers-assistant-urban-planner-design-lahore-jobs-1433369?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433369&utm_campaign=ROZEE.PK_job_search
1602,BPO,Sales & Business Development,3 Posts,Second Shift (Afternoon),Full Time/Permanent,"DHA, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 02, 2023","Nov 01, 2023",0,,,https://www.rozee.pk/al-jalil-developers-urban-designer-planner-lahore-jobs-1433353?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433353&utm_campaign=ROZEE.PK_job_search
1603,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 12, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/omega-group-telesales-representative-lahore-jobs-1433205?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433205&utm_campaign=ROZEE.PK_job_search
1604,Information Technology,Sales & Business Development,3 Posts,First Shift (Day),Internship,"Bahria Town Lahore, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Intern/Student,Fresh,"Dec 01, 2023","Oct 30, 2023",0,,,https://www.rozee.pk/meeras-properties-telesales-representative-lahore-jobs-1431483?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431483&utm_campaign=ROZEE.PK_job_search
1605,Information Technology,Sales & Business Development,5 Posts,Second Shift (Afternoon),Full Time/Permanent,"Mughalpura, Lahore, Pakistan",No Preference,Non-Matriculation,0,Entry Level,1 Year,"Nov 21, 2023","Nov 10, 2023",18 - 35 Years,,,https://www.rozee.pk/mall-of-arifwala-junior-accounts-officer-arifwala-jobs-1432919?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432919&utm_campaign=ROZEE.PK_job_search
1606,Call Center,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,"Bachelor’s degree in Business Management or Administration, Finance, Accounting, Marketing, or related field.",Experienced Professional,3 Years,"Nov 25, 2023","Oct 27, 2023",0,,,https://www.rozee.pk/greenfire-recruitment-sales-marketing-manager-islamabad-jobs-1432903?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432903&utm_campaign=ROZEE.PK_job_search
1607,Business Development,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Lahore, Multan, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 25, 2023","Oct 24, 2023",0,,,https://www.rozee.pk/snow-resort-pvt-ltd-social-media-officer-islamabad-jobs-1432979?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432979&utm_campaign=ROZEE.PK_job_search
1608,0,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 5, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 09, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/health-plus-distributors-manager-accounts-rawalpindi-jobs-1430641?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430641&utm_campaign=ROZEE.PK_job_search
1609,Business Development,Sales & Business Development,3 Posts,Third Shift (Night),Full Time/Permanent,"Kohinoor, Faisalabad, Pakistan",No Preference,Intermediate/A-Level,"Business, Marketing, or a related field (MBA is a plus).",Experienced Professional,0,"Nov 28, 2023","Oct 27, 2023",24 - 30 Years,,,https://www.rozee.pk/noon-developers-marketing-telesales-agent-lahore-jobs-1432503?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432503&utm_campaign=ROZEE.PK_job_search
1610,0,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Nov 21, 2023","Oct 20, 2023",0,,,https://www.rozee.pk/reality-one-group-sales-executive-islamabad-rawalpindi-jobs-1431767?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431767&utm_campaign=ROZEE.PK_job_search
1611,Information Technology,Sales & Business Development,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Lahore, Peshawar, Rawalpindi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",0,,,https://www.rozee.pk/pak-asia-marketing-graphic-designer-islamabad-jobs-1431755?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431755&utm_campaign=ROZEE.PK_job_search
1612,Real Estate/Property,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"DHA, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 03, 2023","Nov 02, 2023",27 - 32 Years,,,https://www.rozee.pk/health-plus-distributors-computer-operator-rawalpindi-jobs-1430643?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430643&utm_campaign=ROZEE.PK_job_search
1613,0,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Entry Level,Less than 1 Year,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/safa-gold-mall-manager-business-development-mall-islamabad-jobs-1431627?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431627&utm_campaign=ROZEE.PK_job_search
1614,Information Technology,Sales & Business Development,35+ Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 24, 2023","Oct 23, 2023",0,,,https://www.rozee.pk/urban-structure-graphic-designer-sargodha-jobs-1431559?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431559&utm_campaign=ROZEE.PK_job_search
1615,Shipping / Marine,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"Bachelor's degree in Business, Marketing, Finance, or related field / MBA",Experienced Professional,0,"Dec 01, 2023","Oct 30, 2023",0,,,https://www.rozee.pk/izhar-monnoo-developers-pvt-ltd-senior-draftsman-lahore-jobs-1428161?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428161&utm_campaign=ROZEE.PK_job_search
1616,Information Technology,Sales & Business Development,1 Post,Rotating,Full Time/Permanent,"Karachi, Pakistan",No Preference,Masters,0,Department Head,0,"Dec 06, 2023","Nov 05, 2023",30 - 40 Years,,,https://www.rozee.pk/health-plus-distributors-admin-officer-rawalpindi-jobs-1430647?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430647&utm_campaign=ROZEE.PK_job_search
1617,Information Technology,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 25, 2023","Oct 24, 2023",0,,,https://www.rozee.pk/the-designers-properties-sales-officer-islamabad-jobs-1431329?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431329&utm_campaign=ROZEE.PK_job_search
1618,Construction / Cement / Metals,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Gujranwala, Pakistan",No Preference,Bachelors,0,Experienced Professional,"3 Years (Experience can be good (not a must)in: Recycling, Metals, Scrap material, Import/Export, Business development, Reporting, maintaining documents, Microsoft Office,)","Nov 28, 2023","Oct 27, 2023",23 - 36 Years,,,https://www.rozee.pk/property-stock-graphic-designer-islamabad-jobs-1431273?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431273&utm_campaign=ROZEE.PK_job_search
1619,N.G.O./Social Services,Sales & Business Development,3 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Male,Bachelors,0,Experienced Professional,3 Years,"Nov 24, 2023","Oct 23, 2023",0,,,https://www.rozee.pk/work-together-front-desk-officer-karachi-jobs-1433361?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433361&utm_campaign=ROZEE.PK_job_search
1620,Information Technology,Sales & Business Development,1 Post,Hybrid Work Model,Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Karachi, Lahore, Peshawar, Rawalpindi, Sialkot, Pakistan",No Preference,Bachelors,0,Experienced Professional,4 Years (Selling of GPS Trackers),"Nov 23, 2023","Oct 23, 2023",0,,,https://www.rozee.pk/work-together-lawyer-lahore-jobs-1433359?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433359&utm_campaign=ROZEE.PK_job_search
1621,Food & Beverages,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,16 years of education from a reputable university (MBA in Marketing will be preferred),Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",0,,,https://www.rozee.pk/professional-employers-pvt-ltd-lead-generation-expert-islamabad-jobs-1433265?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433265&utm_campaign=ROZEE.PK_job_search
1622,0,Marketing,2 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 05, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/jobspk-accountant-lahore-jobs-1433167?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433167&utm_campaign=ROZEE.PK_job_search
1623,0,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Railway Carriage, Rawalpindi, Pakistan",Male,Diploma,0,Entry Level,Less than 1 Year,"Dec 01, 2023","Oct 30, 2023",0,,,https://www.rozee.pk/khm-group-of-companies-social-media-manager-rawalpindi-jobs-1433203?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433203&utm_campaign=ROZEE.PK_job_search
1624,Engineering,Project Management,1 Post,Work from Home,Full Time/Permanent,"Malir, Karachi, Pakistan",Female,Bachelors,0,Intern/Student,0,"Dec 03, 2023","Nov 03, 2023",0,,,https://www.rozee.pk/resource-linked-sales-representative-pharmacy-islamabad-faisalabad-hyderabad-peshawar-rawalpindi-jobs-1433165?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433165&utm_campaign=ROZEE.PK_job_search
1625,Publishing/Printing,Marketing,3 Posts,Work from Home,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,4 Years,"Nov 30, 2023","Oct 29, 2023",0,,,https://www.rozee.pk/rozeepk-php-developer-codeigniter-sialkot-jobs-1429333?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429333&utm_campaign=ROZEE.PK_job_search
1626,0,Client Services & Customer Support,11 Posts,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Matriculation/O-Level,0,Entry Level,Fresh,"Dec 10, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/professional-employers-pvt-ltd-commis-i-lahore-jobs-1433079?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433079&utm_campaign=ROZEE.PK_job_search
1627,Engineering,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/thinkwiser-high-manpower-international-pvt-ltd-mechanical-inspector-lahore-jobs-1431749?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431749&utm_campaign=ROZEE.PK_job_search
1628,N.G.O./Social Services,Project Management,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Masters,0,Department Head,0,"Nov 18, 2023","Oct 17, 2023",45 - 60 Years,,,https://www.rozee.pk/rozeepk-marketing-manager-islamabad-karachi-lahore-jobs-1432877?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432877&utm_campaign=ROZEE.PK_job_search
1629,Banking/Financial Services,Operations,35+ Posts,First Shift (Day),Full Time/Permanent,"All Cities, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Nov 20, 2023","Oct 19, 2023",18 - 31 Years,,,https://www.rozee.pk/work-together-visa-consultant-lahore-jobs-1432997?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432997&utm_campaign=ROZEE.PK_job_search
1630,Importers / Distributors/Exporters,Engineering,1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",No Preference,Bachelors,0,Experienced Professional,4 Years,"Nov 15, 2023","Oct 14, 2023",0,,,https://www.rozee.pk/work-together-visa-consultant-faisalabad-jobs-1432995?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432995&utm_campaign=ROZEE.PK_job_search
1631,BPO,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/work-together-project-sales-executive-rawalpindi-jobs-1432999?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432999&utm_campaign=ROZEE.PK_job_search
1632,Electronics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Female,Bachelors,Accounting and Finance,Entry Level,Fresh,"Dec 01, 2023","Nov 06, 2023",20 - 30 Years,,,https://www.rozee.pk/work-together-video-editor-islamabad-jobs-1432993?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432993&utm_campaign=ROZEE.PK_job_search
